"participant_id","treat","age_months","female","kindergarten","teacher_id","school_id","private_school","title1","free_reduced_lunch","state","esl_observed","special_ed_observed","new_student","distracted_a1","distracted_a2","distracted_ppvt","score_a1","invalid_a1","score_a2","invalid_a2","score_ppvt","score_ppvt_age","invalid_ppvt","t_logins_april","t_logins_total","t_weeks_used","t_words_learned","t_financial_struggle","t_misbehavior","t_years_experience"
"100",0,81,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,27,NA,28,0,128,116,0,NA,NA,NA,NA,20,1,43
"101",0,76,1,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",0,77,1,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",0,68,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,24,NA,25,0,93,102,0,NA,NA,NA,NA,20,1,43
"104",0,75,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,25,NA,27,0,NA,NA,1,NA,NA,NA,NA,20,1,43
"105",0,76,0,1,45,"1",0,1,75,1,0,0,0,0,0,0,18,NA,21,0,89,89,0,NA,NA,NA,NA,20,1,43
"106",0,76,1,1,45,"1",0,1,75,1,0,0,0,1,0,0,21,NA,17,0,54,71,0,NA,NA,NA,NA,20,1,43
"107",0,76,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,28,NA,26,0,123,117,0,NA,NA,NA,NA,20,1,43
"108",0,75,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,21,NA,24,0,88,90,0,NA,NA,NA,NA,20,1,43
"109",0,73,0,1,45,"1",0,1,75,1,0,0,0,0,0,0,23,NA,26,0,NA,NA,1,NA,NA,NA,NA,20,1,43
"110",0,76,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,25,NA,25,0,106,103,0,NA,NA,NA,NA,20,1,43
"111",0,74,0,1,45,"1",0,1,75,1,0,0,0,0,0,0,24,NA,23,0,85,89,0,NA,NA,NA,NA,20,1,43
"113",0,76,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,23,NA,26,0,84,87,0,NA,NA,NA,NA,20,1,43
"114",0,71,0,1,45,"1",0,1,75,1,0,0,0,0,0,0,28,NA,28,0,123,123,0,NA,NA,NA,NA,20,1,43
"115",0,80,0,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",0,75,1,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",0,69,0,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",0,73,0,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",0,81,0,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10554",1,59,1,0,23,"2",1,0,0,2,0,0,0,0,0,0,24,NA,28,0,98,116,0,29,150,22,3,6,3,30
"11066",1,69,0,0,23,"2",1,0,0,2,0,0,0,0,1,1,23,NA,26,0,96,102,0,29,150,22,3,6,3,30
"14682",1,61,0,0,23,"2",1,0,0,2,0,0,0,0,0,1,28,NA,31,0,109,122,0,29,150,22,3,6,3,30
"21507",1,62,1,0,23,"2",1,0,0,2,0,0,0,0,0,0,28,NA,28,0,112,121,0,29,150,22,3,6,3,30
"29324",1,67,1,0,23,"2",1,0,0,2,0,0,0,0,0,0,29,NA,28,0,113,115,0,29,150,22,3,6,3,30
