state,region,pop,soda,coke,other
Alabama,south,153,582,2849,665
Alaska,west,324,636,60,92
Arizona,west,586,2799,437,174
Arkansas,south,154,347,1442,80
California,west,925,20119,2892,1941
Colorado,west,2909,1943,327,183
Connecticut,northeast,70,4273,102,115
Delaware,south,24,699,41,29
District of Columbia,south,35,442,57,40
Florida,south,344,5400,3642,1921
Georgia,south,140,1425,4933,410
Hawaii,west,35,673,36,76
Idaho,west,954,520,63,123
Illinois,midwest,16400,7267,885,572
Indiana,midwest,5591,1485,1989,363
Iowa,midwest,6295,1227,67,173
Kansas,midwest,2960,934,342,253
Kentucky,south,1251,692,2248,329
Louisiana,south,81,375,2739,597
Maine,northeast,35,1418,21,74
Maryland,south,208,5127,677,218
Massachusetts,northeast,115,5874,240,1883
Michigan,midwest,20493,10894,232,398
Minnesota,midwest,11627,1745,119,311
Mississippi,south,74,184,1435,102
Missouri,midwest,1948,6733,541,230
Montana,west,1061,284,37,73
Nebraska,midwest,3045,661,54,119
Nevada,west,119,849,136,52
New Hampshire,northeast,18,1428,34,255
New Jersey,northeast,135,8306,263,201
New Mexico,west,95,493,754,79
New York,northeast,7607,16671,489,525
North Carolina,south,228,2671,1843,1008
North Dakota,midwest,1136,253,15,25
Ohio,midwest,19487,3082,450,490
Oklahoma,south,1687,692,1486,151
Oregon,west,3086,1903,188,179
Pennsylvania,northeast,13089,11395,331,450
Rhode Island,northeast,15,934,16,43
South Carolina,south,60,880,1283,237
South Dakota,midwest,1152,313,22,32
Tennessee,south,226,892,3656,323
Texas,south,361,4813,14494,906
Utah,west,858,1096,161,137
Vermont,northeast,19,679,9,56
Virginia,south,562,5066,1457,620
Washington,west,6772,3059,213,286
West Virginia,south,1555,488,240,88
Wisconsin,midwest,3410,8751,87,438
Wyoming,west,463,150,74,318
