income,age,party,trump_approval,education,robots,climate_change,transformers,science_is_honest,vaccines_are_safe,books,ghosts,fed_sci_budget,earth_sun,wise_unwise
8,64,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Disagree,20,Yes,Too Low,FALSE,Wise but Unhappy
68,56,Democrat,Strongly disapprove,High school,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Disagree,6,No,Too High,FALSE,Wise but Unhappy
46,63,Independent,Somewhat Approve,Some college,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,0,No,About Right,TRUE,Happy but Unwise
51,48,Republican,Strongly Approve,High school,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Disagree,1,No,About Right,FALSE,Happy but Unwise
100,32,Democrat,Somewhat Approve,Some college,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,30,Yes,Too Low,FALSE,Wise but Unhappy
54,64,Democrat,Strongly disapprove,Some college,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,15,No,Too Low,TRUE,Wise but Unhappy
83,61,Independent,Somewhat Approve,College degree,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,0,Yes,About Right,TRUE,Happy but Unwise
114,64,Republican,Somewhat disapprove,College degree,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,40,No,About Right,TRUE,Wise but Unhappy
90,64,Republican,Somewhat Approve,High school,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,0,No,About Right,TRUE,Happy but Unwise
5,68,Democrat,Somewhat disapprove,Some college,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,1,No,Too Low,TRUE,Wise but Unhappy
57,63,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,Too Low,FALSE,Wise but Unhappy
47,44,Independent,Neither approve nor disapprove,High school,Unlikely,Real and Caused by People,1,Strongly Disagree,Somewhat Agree,2,Yes,Too High,TRUE,Happy but Unwise
39,57,Democrat,Somewhat Approve,College degree,Unlikely,Real and Caused by People,0,Strongly Disagree,Somewhat Agree,12,Yes,Too High,TRUE,Happy but Unwise
5,62,Democrat,Strongly disapprove,College degree,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,6,No,Too Low,TRUE,Wise but Unhappy
84,62,Republican,Somewhat disapprove,College degree,Likely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,6,No,Too Low,FALSE,Happy but Unwise
104,46,Independent,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,24,No,Too Low,TRUE,Happy but Unwise
8,60,Democrat,Strongly disapprove,Some college,Likely,Real and Caused by People,5,Strongly Agree,Strongly Agree,0,Yes,Too Low,FALSE,Happy but Unwise
23,62,Democrat,Neither approve nor disapprove,High school,Likely,Real but not Caused by People,1,Strongly Disagree,Strongly Agree,40,No,Too High,TRUE,Happy but Unwise
55,40,Republican,Somewhat Approve,College degree,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,15,No,Too High,FALSE,Wise but Unhappy
80,48,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,5,Yes,Too Low,TRUE,Happy but Unwise
194,54,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,4,Strongly Agree,Strongly Agree,4,Yes,Too Low,TRUE,Happy but Unwise
82,62,Republican,Strongly Approve,College degree,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Agree,0,No,About Right,TRUE,Happy but Unwise
22,50,Democrat,Neither approve nor disapprove,High school,Likely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,6,Yes,Too Low,TRUE,Happy but Unwise
54,59,Democrat,Somewhat Approve,Some college,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Disagree,25,Yes,About Right,TRUE,Wise but Unhappy
79,30,Independent,Strongly Approve,College degree,Unlikely,Not Real At All,1,Strongly Agree,Strongly Agree,5,Yes,Too Low,FALSE,Happy but Unwise
5,60,Democrat,Somewhat disapprove,Some college,Likely,Real and Caused by People,3,Strongly Agree,Somewhat Agree,2,No,Too Low,FALSE,Happy but Unwise
60,70,Democrat,Strongly disapprove,College degree,Unlikely,Real but not Caused by People,5,Somewhat Agree,Strongly Agree,6,No,About Right,TRUE,Wise but Unhappy
39,19,Independent,Somewhat Approve,High school,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,3,Yes,Too Low,TRUE,Happy but Unwise
58,61,Independent,Somewhat Approve,College degree,Likely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,0,Yes,About Right,FALSE,Happy but Unwise
54,57,Democrat,Somewhat disapprove,High school,Likely,Not Real At All,0,Somewhat Agree,Strongly Agree,0,No,About Right,TRUE,Wise but Unhappy
73,36,Democrat,Neither approve nor disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,12,No,About Right,FALSE,Wise but Unhappy
26,63,Democrat,Somewhat disapprove,High school,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,Yes,Too Low,TRUE,Wise but Unhappy
48,63,Republican,Strongly Approve,College degree,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,30,No,About Right,TRUE,Happy but Unwise
61,55,Independent,Strongly disapprove,High school,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,1,No,About Right,TRUE,Happy but Unwise
67,56,Republican,Somewhat Approve,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,1,Yes,Too Low,FALSE,Wise but Unhappy
58,54,Democrat,Somewhat Approve,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,0,Yes,About Right,FALSE,Happy but Unwise
70,50,Independent,Strongly disapprove,College degree,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,30,Yes,Too High,TRUE,Happy but Unwise
114,65,Independent,Somewhat disapprove,Graduate degree,Unlikely,Real but not Caused by People,5,Somewhat Agree,Strongly Agree,10,No,Too Low,TRUE,Happy but Unwise
93,73,Democrat,Strongly disapprove,College degree,Likely,Real but not Caused by People,2,Strongly Agree,Somewhat Agree,200,Yes,Too Low,TRUE,Wise but Unhappy
114,44,Independent,Strongly disapprove,Some college,Likely,Real but not Caused by People,3,Somewhat Agree,Strongly Agree,6,No,About Right,FALSE,Wise but Unhappy
97,65,Republican,Strongly Approve,Graduate degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,7,No,Too Low,FALSE,Happy but Unwise
70,25,Independent,Strongly disapprove,Some college,Unlikely,Real and Caused by People,4,Somewhat Disagree,Somewhat Disagree,124,Yes,About Right,TRUE,Happy but Unwise
103,53,Republican,Strongly disapprove,College degree,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,1,No,Too High,TRUE,Happy but Unwise
152,30,Independent,Neither approve nor disapprove,College degree,Unlikely,Real and Caused by People,0,Somewhat Disagree,Strongly Disagree,15,No,About Right,TRUE,Wise but Unhappy
64,73,Independent,Strongly Approve,Some college,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,8,No,About Right,FALSE,Happy but Unwise
109,56,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,No,Too Low,TRUE,Wise but Unhappy
80,54,Independent,Strongly Approve,Graduate degree,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Agree,5,No,Too High,TRUE,Happy but Unwise
20,60,Republican,Somewhat disapprove,Other,Likely,Real but not Caused by People,2,Somewhat Agree,Somewhat Agree,0,Yes,About Right,TRUE,Wise but Unhappy
52,19,Independent,Somewhat disapprove,Some college,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Disagree,5,Yes,Too Low,TRUE,Wise but Unhappy
56,35,Democrat,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,50,Yes,Too Low,TRUE,Wise but Unhappy
74,31,Republican,Somewhat Approve,College degree,Unlikely,Real but not Caused by People,1,Strongly Disagree,Somewhat Agree,10,No,Too High,TRUE,Happy but Unwise
91,31,Independent,Neither approve nor disapprove,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,Yes,Too Low,FALSE,Happy but Unwise
52,62,Independent,Somewhat disapprove,High school,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,1,Yes,Too High,TRUE,Wise but Unhappy
58,75,Republican,Strongly Approve,High school,Likely,Real but not Caused by People,1,Somewhat Agree,Somewhat Agree,20,No,About Right,TRUE,Wise but Unhappy
159,66,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,30,No,About Right,FALSE,Wise but Unhappy
161,58,Independent,Somewhat disapprove,Graduate degree,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Disagree,4,No,About Right,FALSE,Happy but Unwise
76,47,Republican,Strongly disapprove,Some college,Unlikely,Real and Caused by People,4,Somewhat Agree,Somewhat Agree,20,Yes,Too Low,TRUE,Happy but Unwise
51,18,Republican,Strongly Approve,High school,Unlikely,Not Real At All,2,Somewhat Agree,Strongly Agree,4,Yes,About Right,FALSE,Happy but Unwise
47,34,Republican,Strongly Approve,High school,Likely,Not Real At All,5,Strongly Disagree,Strongly Disagree,1,Yes,Too High,TRUE,Wise but Unhappy
53,63,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,6,No,About Right,TRUE,Wise but Unhappy
82,28,Republican,Strongly Approve,Some college,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,0,No,About Right,TRUE,Happy but Unwise
101,36,Democrat,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,8,Yes,Too Low,FALSE,Wise but Unhappy
61,32,Independent,Somewhat Approve,High school,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,18,No,About Right,TRUE,Wise but Unhappy
83,55,Independent,Somewhat Approve,Some college,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Disagree,0,Yes,About Right,TRUE,Happy but Unwise
75,72,Republican,Strongly Approve,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,6,Yes,About Right,TRUE,Wise but Unhappy
250,31,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,20,No,Too Low,FALSE,Wise but Unhappy
61,41,Democrat,Strongly disapprove,High school,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Disagree,0,No,Too Low,TRUE,Happy but Unwise
106,48,Republican,Strongly Approve,High school,Unlikely,Not Real At All,2,Somewhat Agree,Somewhat Agree,2,Yes,About Right,TRUE,Happy but Unwise
61,86,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,2,No,Too Low,TRUE,Happy but Unwise
124,53,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,50,No,Too Low,FALSE,Wise but Unhappy
30,74,Independent,Somewhat Approve,High school,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,50,No,About Right,TRUE,Happy but Unwise
52,33,Independent,Strongly Approve,College degree,Unlikely,Not Real At All,2,Strongly Disagree,Strongly Agree,1000,Yes,Too High,TRUE,Happy but Unwise
41,78,Republican,Somewhat Approve,Some college,Likely,Not Real At All,0,Somewhat Agree,Somewhat Agree,0,No,About Right,TRUE,Happy but Unwise
106,45,Republican,Strongly Approve,College degree,Unlikely,Not Real At All,2,Somewhat Agree,Somewhat Agree,20,No,Too Low,FALSE,Happy but Unwise
21,41,Democrat,Somewhat Approve,High school,Likely,Real and Caused by People,0,Somewhat Disagree,Somewhat Agree,1,No,About Right,FALSE,Happy but Unwise
